id,name,age,city,salary,department,performance_score,join_date
1,Grace,19,Houston,95501,Marketing,2.91,2015-01-01
2,David,23,Houston,93309,Finance,4.29,2015-01-02
3,Eva,45,Dallas,67043,Support,2.09,2015-01-03
4,Grace,46,San Diego,73635,Finance,1.74,2015-01-04
5,Charlie,43,New York,119315,Sales,3.73,2015-01-05
6,Helen,42,New York,73132,Marketing,3.13,2015-01-06
7,Eva,29,San Diego,55366,IT,3.06,2015-01-07
8,Eva,22,San Diego,112107,Sales,2.03,2015-01-08
9,Grace,51,San Diego,102580,Marketing,1.14,2015-01-09
10,Bob,54,Los Angeles,97889,HR,2.64,2015-01-10
11,Charlie,32,New York,119553,HR,1.43,2015-01-11
12,Grace,61,San Diego,79236,Finance,4.62,2015-01-12
13,Charlie,53,Los Angeles,44150,Support,1.17,2015-01-13
14,Charlie,32,Phoenix,59423,IT,2.73,2015-01-14
15,Helen,60,Los Angeles,44137,HR,1.21,2015-01-15
16,Eva,40,New York,69992,Marketing,1.38,2015-01-16
17,David,23,Dallas,84921,Support,3.64,2015-01-17
18,Helen,63,Phoenix,119369,Support,3.59,2015-01-18
19,Helen,61,New York,106917,Marketing,1.13,2015-01-19
20,Charlie,60,Los Angeles,113690,Support,1.0,2015-01-20
21,Frank,62,Chicago,74235,HR,1.32,2015-01-21
22,Eva,38,Houston,118975,Marketing,4.05,2015-01-22
23,Bob,40,New York,59122,Marketing,3.34,2015-01-23
24,Helen,60,San Diego,63956,Finance,1.15,2015-01-24
25,David,33,Los Angeles,103879,IT,2.95,2015-01-25
26,Frank,64,San Diego,98560,Finance,3.85,2015-01-26
27,Frank,32,San Diego,108685,IT,4.48,2015-01-27
28,Bob,42,San Diego,64660,Marketing,4.74,2015-01-28
29,Helen,53,San Diego,41168,Support,2.31,2015-01-29
30,David,28,San Diego,85124,IT,1.54,2015-01-30
31,Eva,32,Phoenix,75897,Marketing,1.95,2015-01-31
32,Alice,21,New York,55032,Marketing,4.1,2015-02-01
33,David,38,New York,92797,Finance,4.89,2015-02-02
34,Bob,30,Houston,75294,Finance,2.87,2015-02-03
35,Frank,39,Los Angeles,83827,Support,2.22,2015-02-04
36,Eva,36,Chicago,43516,Sales,2.72,2015-02-05
37,David,51,Phoenix,59751,HR,2.22,2015-02-06
38,Alice,31,Los Angeles,70373,Sales,2.03,2015-02-07
39,Alice,21,Phoenix,70270,Sales,3.38,2015-02-08
40,Charlie,63,New York,50386,Support,1.06,2015-02-09
41,Charlie,44,San Diego,104817,IT,2.04,2015-02-10
42,Grace,46,Houston,105184,Support,3.65,2015-02-11
43,Bob,64,Houston,119693,Support,1.13,2015-02-12
44,Helen,45,Dallas,77879,Marketing,1.33,2015-02-13
45,David,52,Chicago,89597,Marketing,2.17,2015-02-14
46,David,25,Houston,79132,Marketing,4.51,2015-02-15
47,Helen,33,San Diego,43626,HR,4.06,2015-02-16
48,Grace,59,New York,117065,IT,1.09,2015-02-17
49,Frank,53,Chicago,95390,IT,3.01,2015-02-18
50,Frank,47,Los Angeles,56645,Marketing,2.1,2015-02-19
51,Grace,35,San Diego,94144,Sales,3.59,2015-02-20
52,Frank,19,San Diego,53382,HR,3.89,2015-02-21
53,Charlie,30,Houston,44025,Sales,4.45,2015-02-22
54,David,21,Chicago,83226,Finance,2.9,2015-02-23
55,Grace,43,New York,119380,IT,4.98,2015-02-24
56,David,42,Dallas,109711,IT,4.92,2015-02-25
57,Helen,47,Phoenix,114710,Sales,4.53,2015-02-26
58,Alice,28,Phoenix,43443,HR,3.3,2015-02-27
59,Charlie,24,New York,61395,IT,2.59,2015-02-28
60,Eva,48,New York,50725,Sales,2.46,2015-03-01
61,Charlie,61,Phoenix,73461,Support,1.05,2015-03-02
